task_file,item_id,model_id,model_name,prompt,output,input_tokens,output_tokens,latency_ms,retries,error,input_price,output_price,tests_passed,tests_total,all_pass,judge_note,tone_t0,accuracy_t0,completeness_t0,tone_t1,accuracy_t1,completeness_t1
task_a_code.json,A01,openai/gpt-5.5,GPT-5.5,"Write a Python function named `solve` with this signature:

def solve(nums: list[int]) -> int

Problem: Return the length of the longest contiguous subarray whose elements are strictly increasing.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(nums: list[int]) -> int:
    if not nums:
        return 0

    max_len = 1
    current_len = 1

    for i in range(1, len(nums)):
        if nums[i] > nums[i - 1]:
            current_len += 1
        else:
            current_len = 1
        max_len = max(max_len, current_len)

    return max_len
```",87,131,3319,0,,5.0,30.0,5,5,1,,,,,,,
task_a_code.json,A01,anthropic/claude-opus-4.7,Claude Opus 4.7,"Write a Python function named `solve` with this signature:

def solve(nums: list[int]) -> int

Problem: Return the length of the longest contiguous subarray whose elements are strictly increasing.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(nums: list[int]) -> int:
    if not nums:
        return 0
    max_len = 1
    cur = 1
    for i in range(1, len(nums)):
        if nums[i] > nums[i-1]:
            cur += 1
            max_len = max(max_len, cur)
        else:
            cur = 1
    return max_len
```",137,124,3278,0,,4.25,21.25,5,5,1,,,,,,,
task_a_code.json,A01,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,"Write a Python function named `solve` with this signature:

def solve(nums: list[int]) -> int

Problem: Return the length of the longest contiguous subarray whose elements are strictly increasing.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(nums: list[int]) -> int:
    if not nums:
        return 0

    max_len = 1
    cur_len = 1

    for i in range(1, len(nums)):
        if nums[i] > nums[i - 1]:
            cur_len += 1
            if cur_len > max_len:
                max_len = cur_len
        else:
            cur_len = 1

    return max_len
```",85,293,10951,0,,1.392,2.784,5,5,1,,,,,,,
task_a_code.json,A01,google/gemini-2-5-pro,Gemini 2.5 Pro,"Write a Python function named `solve` with this signature:

def solve(nums: list[int]) -> int

Problem: Return the length of the longest contiguous subarray whose elements are strictly increasing.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(nums: list[int]) -> int:
    """"""
    Calculates the length of the longest contiguous subarray with strictly increasing elements.
    """"""
    if not nums:
        return 0

    max_length = 1
    current_length = 1

    for i in range(1, len(nums)):
        if nums[i] > nums[i - 1]:
            current_length += 1
        else:
            current_length = 1
        
        if current_length > max_length:
            max_length = current_length
            
    return max_length
```",84,3754,27244,0,,1.25,10.0,5,5,1,,,,,,,
task_a_code.json,A01,openai/gpt-4o-mini,GPT-4o-mini,"Write a Python function named `solve` with this signature:

def solve(nums: list[int]) -> int

Problem: Return the length of the longest contiguous subarray whose elements are strictly increasing.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(nums: list[int]) -> int:
    if not nums:
        return 0
    
    max_length = 1
    current_length = 1
    
    for i in range(1, len(nums)):
        if nums[i] > nums[i - 1]:
            current_length += 1
        else:
            max_length = max(max_length, current_length)
            current_length = 1
            
    return max(max_length, current_length)
```",88,98,2215,0,,0.15,0.6,5,5,1,,,,,,,
task_a_code.json,A02,openai/gpt-5.5,GPT-5.5,"Write a Python function named `solve` with this signature:

def solve(s: str) -> str

Problem: Given a string, return the longest substring containing at most 2 distinct characters.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(s: str) -> str:
    left = 0
    counts = {}
    best_start = 0
    best_len = 0

    for right, ch in enumerate(s):
        counts[ch] = counts.get(ch, 0) + 1

        while len(counts) > 2:
            left_ch = s[left]
            counts[left_ch] -= 1
            if counts[left_ch] == 0:
                del counts[left_ch]
            left += 1

        current_len = right - left + 1
        if current_len > best_len:
            best_start = left
            best_len = current_len

    return s[best_start:best_start + best_len]
```",87,214,5599,0,,5.0,30.0,5,5,1,,,,,,,
task_a_code.json,A02,anthropic/claude-opus-4.7,Claude Opus 4.7,"Write a Python function named `solve` with this signature:

def solve(s: str) -> str

Problem: Given a string, return the longest substring containing at most 2 distinct characters.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(s: str) -> str:
    if not s:
        return """"
    left = 0
    counts = {}
    best_start = 0
    best_len = 0
    for right, ch in enumerate(s):
        counts[ch] = counts.get(ch, 0) + 1
        while len(counts) > 2:
            counts[s[left]] -= 1
            if counts[s[left]] == 0:
                del counts[s[left]]
            left += 1
        if right - left + 1 > best_len:
            best_len = right - left + 1
            best_start = left
    return s[best_start:best_start + best_len]
```",130,209,3526,0,,4.25,21.25,5,5,1,,,,,,,
task_a_code.json,A02,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,"Write a Python function named `solve` with this signature:

def solve(s: str) -> str

Problem: Given a string, return the longest substring containing at most 2 distinct characters.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(s: str) -> str:
    if not s:
        return """"
    n = len(s)
    if n <= 2:
        return s
    left = 0
    max_len = 0
    start = 0
    char_count = {}
    for right in range(n):
        char_count[s[right]] = char_count.get(s[right], 0) + 1
        while len(char_count) > 2:
            char_count[s[left]] -= 1
            if char_count[s[left]] == 0:
                del char_count[s[left]]
            left += 1
        current_len = right - left + 1
        if current_len > max_len:
            max_len = current_len
            start = left
    return s[start:start+max_len]
```",85,683,16153,0,,1.392,2.784,5,5,1,,,,,,,
task_a_code.json,A02,google/gemini-2-5-pro,Gemini 2.5 Pro,"Write a Python function named `solve` with this signature:

def solve(s: str) -> str

Problem: Given a string, return the longest substring containing at most 2 distinct characters.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(s: str) -> str:
    """"""
    Given a string, return the longest substring containing at most 2 distinct characters.
    """"""
    if len(s) <= 2:
        return s

    left = 0
    max_len = 0
    start_index = 0
    window_chars = {}

    for right, char in enumerate(s):
        # Add the current character to the window
        window_chars[char] = window_chars.get(char, 0) + 1

        # If the window contains more than 2 distinct characters, shrink it from the left
        while len(window_chars) > 2:
            ",84,4092,29099,0,,1.25,10.0,0,5,0,"  File ""/var/folders/bx/_ml5bwds5g7f_ygpgqnd6hqh0000gn/T/tmp2qiw3_gb.py"", line 6
    ```python
    ^
SyntaxError: invalid syntax
",,,,,,
task_a_code.json,A02,openai/gpt-4o-mini,GPT-4o-mini,"Write a Python function named `solve` with this signature:

def solve(s: str) -> str

Problem: Given a string, return the longest substring containing at most 2 distinct characters.

Return ONLY the complete function (starting with the `def solve(...)` line) inside a single Python code block. No explanation. Do not include `if __name__ == ...` blocks or example calls.","```python
def solve(s: str) -> str:
    left = 0
    right = 0
    char_count = {}
    max_length = 0
    start_index = 0

    while right < len(s):
        char_count[s[right]] = char_count.get(s[right], 0) + 1
        
        while len(char_count) > 2:
            char_count[s[left]] -= 1
            if char_count[s[left]] == 0:
                del char_count[s[left]]
            left += 1
        
        if right - left + 1 > max_length:
            max_length = right - left + 1
            start_index = left
        
        right += 1
    
    return s[start_index:start_index + max_length]
```",88,162,2137,0,,0.15,0.6,5,5,1,,,,,,,
